epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.38683,2.12205,3.82663,5.37683,1.78843,0.70596,0.15171,0.14692,0.05165,0.68797,0.14035,0.13615,0.0426,2.33676,7.41702,2.87067,1.95087,0.000375,0.000375,0.000375
2,15.472,2.17202,3.50154,3.44884,1.81613,0.60016,0.16602,0.10697,0.0243,0.72183,0.12485,0.08758,0.02294,2.47029,4.16101,3.09212,1.96441,0.000747403,0.000747403,0.000747403
3,22.5491,2.27933,3.37282,3.1704,1.90803,0.40861,0.25152,0.12214,0.03739,0.37611,0.19438,0.09277,0.02637,2.56965,3.95147,6.95336,2.12034,0.00110446,0.00110446,0.00110446
4,29.5444,2.25979,3.30798,2.982,1.89952,0.15846,0.23361,0.10448,0.03315,0.17853,0.20056,0.11269,0.02917,2.59808,3.90898,98.4494,2.56037,0.00117575,0.00117575,0.00117575
5,36.738,2.26699,3.34829,2.98565,1.98805,0.37069,0.11261,0.09155,0.03537,0.3936,0.10658,0.10397,0.03419,2.48812,4.24471,14.6264,2.26976,0.001151,0.001151,0.001151
6,43.6992,2.16411,3.17051,2.75893,1.91748,0.41297,0.1232,0.13074,0.04627,0.43427,0.14756,0.15071,0.04683,2.44079,3.34125,8.34904,2.20315,0.00112625,0.00112625,0.00112625
7,50.81,2.22938,3.19948,2.58409,1.97698,0.6643,0.12978,0.13359,0.04974,0.69577,0.19019,0.1767,0.05578,2.30743,2.9985,3.2814,1.9979,0.0011015,0.0011015,0.0011015
8,57.8398,2.20329,3.07226,2.51898,1.91298,0.66065,0.19537,0.18185,0.06088,0.73124,0.16128,0.20747,0.06118,2.45317,2.8635,3.591,2.05599,0.00107675,0.00107675,0.00107675
9,64.7075,2.17649,3.20796,2.54178,1.91696,0.73139,0.17344,0.15409,0.04688,0.76421,0.17379,0.19421,0.05926,2.40772,3.09294,3.07672,2.04752,0.001052,0.001052,0.001052
10,71.715,2.15194,3.0126,2.44448,1.86685,0.67179,0.19617,0.15391,0.05271,0.77246,0.15269,0.19258,0.05783,2.25469,2.83,3.43308,1.9023,0.00102725,0.00102725,0.00102725
11,78.7652,2.08735,3.00192,2.39682,1.80461,0.45844,0.22876,0.17347,0.06688,0.74035,0.17524,0.1886,0.05601,2.1944,2.77107,2.57527,1.84124,0.0010025,0.0010025,0.0010025
12,85.6527,2.06559,2.9844,2.43285,1.83733,0.72999,0.20534,0.20407,0.07496,0.74327,0.19521,0.19717,0.0666,2.24117,2.74931,2.46886,1.90364,0.00097775,0.00097775,0.00097775
13,92.6583,2.11244,2.9569,2.44643,1.80603,0.79607,0.23126,0.2486,0.08191,0.75408,0.23145,0.21993,0.07156,2.20139,2.91677,2.25008,1.83243,0.000953,0.000953,0.000953
14,99.6543,2.04249,2.96469,2.36383,1.77234,0.73535,0.20415,0.18993,0.0715,0.76831,0.23305,0.21418,0.07024,2.13835,2.66558,2.26529,1.79829,0.00092825,0.00092825,0.00092825
15,106.591,1.99302,2.91859,2.31664,1.76532,0.767,0.15869,0.19767,0.07886,0.73478,0.19717,0.21544,0.07248,2.21759,2.89023,2.26198,1.85078,0.0009035,0.0009035,0.0009035
16,113.626,2.00416,2.93762,2.31484,1.80785,0.71508,0.13158,0.18946,0.06625,0.66571,0.16308,0.17612,0.05711,2.17645,2.9488,2.35201,1.82134,0.00087875,0.00087875,0.00087875
17,120.569,1.96749,2.86246,2.39444,1.78404,0.68959,0.17883,0.19035,0.06868,0.70524,0.1876,0.17976,0.05488,2.22974,2.83229,2.25442,1.8251,0.000854,0.000854,0.000854
18,127.45,1.9695,2.87506,2.28143,1.74204,0.40128,0.19019,0.17907,0.06348,0.41783,0.21243,0.19795,0.06404,2.25472,2.74732,2.22979,1.80536,0.00082925,0.00082925,0.00082925
19,134.448,1.96962,2.75058,2.32369,1.76738,0.45756,0.16744,0.17512,0.06483,0.50684,0.17883,0.22605,0.07123,2.26623,2.66449,2.13832,1.8788,0.0008045,0.0008045,0.0008045
20,141.461,1.95561,2.75921,2.27539,1.77876,0.78027,0.19019,0.20289,0.07671,0.5537,0.19818,0.22295,0.07573,2.23275,2.72825,2.11941,1.8584,0.00077975,0.00077975,0.00077975
21,148.403,1.93874,2.94887,2.18997,1.73122,0.56318,0.17624,0.22961,0.09642,0.56479,0.16811,0.22014,0.08101,2.11064,2.51254,2.04957,1.79629,0.000755,0.000755,0.000755
22,155.38,1.90853,2.85345,2.24788,1.74883,0.42437,0.19199,0.19718,0.07422,0.45791,0.25851,0.20259,0.06271,2.23847,2.48289,2.07662,1.86373,0.00073025,0.00073025,0.00073025
23,162.386,1.902,2.83072,2.22325,1.73337,0.74742,0.21292,0.21086,0.07909,0.75181,0.20772,0.21833,0.07121,2.22459,2.45216,2.05389,1.86466,0.0007055,0.0007055,0.0007055
24,169.384,1.9059,2.71719,2.20067,1.71806,0.72897,0.19218,0.22086,0.07964,0.73372,0.19657,0.23339,0.07292,2.20308,2.59359,2.0602,1.80293,0.00068075,0.00068075,0.00068075
25,176.494,1.86569,2.73068,2.11167,1.69637,0.4918,0.20076,0.2445,0.08858,0.44615,0.20076,0.23619,0.07632,2.15062,2.61845,2.04259,1.78255,0.000656,0.000656,0.000656
26,183.562,1.88234,2.65045,2.10163,1.6776,0.51192,0.2488,0.21646,0.08265,0.5179,0.24183,0.2712,0.09675,2.16336,2.53092,2.03538,1.80784,0.00063125,0.00063125,0.00063125
27,190.592,1.82754,2.73092,2.1116,1.70533,0.80622,0.23468,0.25553,0.08452,0.80489,0.24262,0.26093,0.08738,2.11932,2.58027,2.02201,1.79517,0.0006065,0.0006065,0.0006065
28,197.591,1.79754,2.55046,2.08831,1.65484,0.79209,0.23744,0.27018,0.09114,0.79243,0.23494,0.25888,0.08809,2.13837,2.57086,1.98572,1.79231,0.00058175,0.00058175,0.00058175
29,204.762,1.79397,2.60426,2.07925,1.66721,0.53798,0.21292,0.25218,0.09479,0.8151,0.21471,0.26252,0.08094,2.18168,2.64322,2.10084,1.83379,0.000557,0.000557,0.000557
30,211.743,1.82796,2.72721,2.13128,1.68657,0.48419,0.23305,0.24854,0.10103,0.58411,0.23862,0.27009,0.0971,2.13349,2.60559,2.05824,1.78245,0.00053225,0.00053225,0.00053225
31,218.767,1.78395,2.62916,2.10437,1.65862,0.54812,0.18581,0.23578,0.09546,0.52083,0.1876,0.22468,0.07084,2.13654,2.54975,2.02271,1.82306,0.0005075,0.0005075,0.0005075
32,225.748,1.8408,2.74345,2.10823,1.67812,0.48032,0.26276,0.24242,0.09278,0.50073,0.23046,0.24117,0.08393,2.15213,2.58879,1.99531,1.8089,0.00048275,0.00048275,0.00048275
33,232.736,1.77014,2.63575,2.11154,1.64058,0.5041,0.2199,0.22448,0.0899,0.60727,0.22169,0.25743,0.08711,2.14777,2.64216,1.97692,1.82064,0.000458,0.000458,0.000458
34,239.848,1.71696,2.54241,1.95597,1.59087,0.79518,0.18321,0.23073,0.09287,0.75795,0.22781,0.24017,0.08689,2.09657,2.73226,2.03578,1.7868,0.00043325,0.00043325,0.00043325
35,246.833,1.77115,2.55735,2.07266,1.63524,0.77227,0.20156,0.24756,0.08972,0.798,0.19717,0.24068,0.07937,2.13627,2.67235,2.05611,1.80789,0.0004085,0.0004085,0.0004085
36,253.744,1.78509,2.51309,2.05672,1.65695,0.74444,0.27412,0.26035,0.09853,0.79043,0.2464,0.27256,0.09064,2.1639,2.53836,1.96753,1.80035,0.00038375,0.00038375,0.00038375
37,260.835,1.68895,2.49247,2.02111,1.57699,0.72197,0.25454,0.25353,0.09039,0.73879,0.26885,0.27364,0.08793,2.1723,2.54935,2.06169,1.78117,0.000359,0.000359,0.000359
