epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.39729,2.33042,5.93197,1.98617,0.22467,0.11994,0.18665,0.06513,2.43968,6.19043,2.02992,0.0004287,0.0004287,0.0004287
2,9.55144,2.27368,3.44469,2.04139,0.47126,0.26329,0.13997,0.04552,2.51836,4.08599,2.0572,0.000854431,0.000854431,0.000854431
3,13.6879,2.41953,3.18337,2.15748,0.17341,0.28149,0.1648,0.05292,2.54836,5.41112,2.37403,0.00126262,0.00126262,0.00126262
4,17.785,2.38687,3.06433,2.14541,0.39555,0.28502,0.09702,0.02948,2.61488,14.208,2.61075,0.00134412,0.00134412,0.00134412
5,21.827,2.3771,3.01542,2.19864,0.44611,0.23602,0.09169,0.03079,2.52847,8.0051,2.5166,0.00131582,0.00131582,0.00131582
6,25.8899,2.34883,2.90706,2.17622,0.53172,0.2519,0.18431,0.05813,2.46058,3.98205,2.29509,0.00128753,0.00128753,0.00128753
7,30.0951,2.33014,2.7865,2.1719,0.49984,0.29952,0.16347,0.05846,2.90672,53.4372,3.29524,0.00125923,0.00125923,0.00125923
8,34.1752,2.32134,2.71978,2.13155,0.5531,0.22567,0.18673,0.07119,2.61184,3.78419,2.13721,0.00123094,0.00123094,0.00123094
9,38.2638,2.29689,2.70669,2.07539,0.55902,0.328,0.2779,0.09098,2.31336,4.19984,2.0384,0.00120265,0.00120265,0.00120265
10,42.3074,2.23941,2.58355,2.05236,0.60172,0.25052,0.27685,0.11072,2.23963,2.47673,1.97653,0.00117435,0.00117435,0.00117435
11,46.3804,2.22416,2.55498,1.9916,0.47852,0.35909,0.27463,0.09859,2.20812,2.79541,1.90504,0.00114606,0.00114606,0.00114606
12,50.3178,2.15452,2.60596,1.99183,0.60809,0.3239,0.28768,0.10467,2.19116,3.266,1.94838,0.00111776,0.00111776,0.00111776
13,54.3432,2.15964,2.71114,2.01276,0.24711,0.39815,0.2468,0.0937,2.25536,2.30996,1.93187,0.00108947,0.00108947,0.00108947
14,58.3853,2.14681,2.60941,1.98211,0.20537,0.28333,0.19215,0.07196,2.37767,2.68571,2.02068,0.00106118,0.00106118,0.00106118
15,62.3879,2.09294,2.51024,1.99761,0.49727,0.49172,0.25297,0.09171,2.27272,2.41552,2.00536,0.00103288,0.00103288,0.00103288
16,66.4368,2.11005,2.46058,1.96051,0.38757,0.31007,0.21236,0.0812,2.29341,2.25129,1.88033,0.00100459,0.00100459,0.00100459
17,70.5925,2.02502,2.48492,1.89945,0.30711,0.3564,0.27193,0.0992,2.28648,2.17505,1.89087,0.000976293,0.000976293,0.000976293
18,74.6145,2.06877,2.3825,1.91079,0.38176,0.35916,0.32411,0.12833,2.17788,2.11143,1.84682,0.000947999,0.000947999,0.000947999
19,78.6965,2.00925,2.31359,1.8632,0.43891,0.33742,0.31841,0.12321,2.17694,2.11594,1.82309,0.000919704,0.000919704,0.000919704
20,82.7457,1.98195,2.33278,1.86184,0.38157,0.28653,0.30684,0.11411,2.12516,1.9979,1.83343,0.00089141,0.00089141,0.00089141
21,86.6873,1.96763,2.26997,1.83501,0.33565,0.3809,0.33497,0.13411,2.10205,1.98941,1.79874,0.000863116,0.000863116,0.000863116
22,90.703,1.97101,2.3256,1.87994,0.34489,0.40149,0.32308,0.12453,2.12035,2.00557,1.75096,0.000834822,0.000834822,0.000834822
23,94.6894,2.00723,2.34413,1.89302,0.38627,0.42694,0.39301,0.14058,2.06839,1.94338,1.75294,0.000806528,0.000806528,0.000806528
24,98.6609,1.98022,2.30451,1.85627,0.31169,0.40707,0.34722,0.13513,2.10398,2.01684,1.80642,0.000778233,0.000778233,0.000778233
25,102.665,1.94152,2.29771,1.84442,0.46651,0.49116,0.39178,0.1581,2.15202,1.926,1.84448,0.000749939,0.000749939,0.000749939
26,106.72,1.95738,2.26695,1.80727,0.47697,0.36301,0.36843,0.14481,2.1241,1.95344,1.80845,0.000721645,0.000721645,0.000721645
27,110.744,1.85884,2.21601,1.81052,0.50522,0.48224,0.39876,0.15918,2.12824,1.96095,1.81053,0.000693351,0.000693351,0.000693351
28,114.811,1.92576,2.17895,1.83636,0.37997,0.45665,0.43054,0.1664,2.08133,1.78883,1.79512,0.000665057,0.000665057,0.000665057
29,118.885,1.891,2.18075,1.85805,0.44239,0.42795,0.4181,0.16857,2.04634,1.83154,1.77782,0.000636762,0.000636762,0.000636762
30,122.904,1.91758,2.21136,1.82125,0.38335,0.43687,0.42006,0.16908,2.05653,1.76004,1.76769,0.000608468,0.000608468,0.000608468
31,126.919,1.86696,2.208,1.79174,0.56105,0.37399,0.40461,0.17838,2.02841,1.85519,1.74057,0.000580174,0.000580174,0.000580174
32,130.924,1.88982,2.14421,1.78096,0.4813,0.46637,0.43683,0.17826,2.03492,1.83452,1.74951,0.00055188,0.00055188,0.00055188
33,134.913,1.84152,2.14612,1.76389,0.5448,0.39592,0.45353,0.19163,2.04263,1.75348,1.76648,0.000523586,0.000523586,0.000523586
34,138.951,1.84129,2.07261,1.76578,0.54715,0.49145,0.4569,0.19584,2.04215,1.74185,1.78109,0.000495291,0.000495291,0.000495291
35,142.958,1.90866,2.11582,1.78215,0.6173,0.46971,0.49105,0.20304,2.07749,1.80809,1.79361,0.000466997,0.000466997,0.000466997
36,146.935,1.92755,2.18507,1.81863,0.53043,0.45478,0.46484,0.20216,2.07045,1.77159,1.75717,0.000438703,0.000438703,0.000438703
37,150.948,1.79667,2.10688,1.74096,0.63299,0.38623,0.45045,0.19235,1.98175,1.83234,1.71282,0.000410409,0.000410409,0.000410409
38,154.906,1.81277,2.08052,1.76434,0.5577,0.4313,0.45245,0.19661,1.95407,1.80694,1.70477,0.000382115,0.000382115,0.000382115
39,158.915,1.74362,1.99761,1.68593,0.56683,0.45803,0.45794,0.18812,2.0138,1.79429,1.76411,0.00035382,0.00035382,0.00035382
40,162.875,1.7543,2.00993,1.72273,0.59771,0.47945,0.4812,0.19647,2.01407,1.75429,1.76631,0.000325526,0.000325526,0.000325526
41,180.463,1.85172,2.01505,1.74116,0.65216,0.42871,0.47001,0.20508,2.0276,1.7601,1.78201,0.000297232,0.000297232,0.000297232
42,184.452,1.8114,1.95697,1.74345,0.49293,0.50854,0.45989,0.20218,2.05723,1.72494,1.78366,0.000268938,0.000268938,0.000268938
43,188.565,1.74572,1.92874,1.73938,0.59393,0.53467,0.48239,0.21985,1.98473,1.75099,1.71978,0.000240644,0.000240644,0.000240644
44,192.585,1.76071,1.96245,1.75823,0.52093,0.44047,0.44022,0.20337,1.97544,1.73383,1.69616,0.000212349,0.000212349,0.000212349
45,196.568,1.69348,1.88968,1.72184,0.50393,0.43992,0.4747,0.20832,1.97891,1.71125,1.69961,0.000184055,0.000184055,0.000184055
46,200.49,1.7493,1.90371,1.71355,0.42783,0.50403,0.47872,0.20739,1.97412,1.72742,1.70757,0.000155761,0.000155761,0.000155761
47,204.419,1.73235,1.87202,1.70314,0.60781,0.44855,0.51945,0.22823,1.98407,1.71079,1.73591,0.000127467,0.000127467,0.000127467
48,208.476,1.65193,1.81981,1.66559,0.77797,0.43268,0.50453,0.2325,1.97031,1.67101,1.73308,9.91726e-05,9.91726e-05,9.91726e-05
49,212.456,1.65231,1.79071,1.68785,0.69977,0.43268,0.5028,0.23104,1.96518,1.64811,1.72228,7.08784e-05,7.08784e-05,7.08784e-05
50,216.449,1.70963,1.82812,1.6841,0.76069,0.44333,0.51167,0.23848,1.96766,1.64285,1.72555,4.25842e-05,4.25842e-05,4.25842e-05
